,Mom   
20170731,-0.04
20170801,0.62
20170802,0.64
20170803,0.29
20170804,0.02
20170807,0.41
20170808,0.57
20170809,-0.22
20170810,-0.47
20170811,0
20170814,1.11
20170815,0.61
20170816,-0.03
20170817,-0.49
20170818,0.2
20170821,0.05
20170822,0.46
20170823,-0.25
20170824,0.04
20170825,-0.45
20170828,0.41
20170829,0.22
20170830,0.54
20170831,0.02
20170901,-0.38
20170905,-0.7
20170906,-0.77
20170907,0.03
20170908,0.45
20170911,0.31
20170912,-0.57
20170913,-0.6
20170914,0.02
20170915,-0.22
20170918,0.48
20170919,0.75
20170920,-0.3
20170921,0.06
20170922,-0.35
20170925,-1.47
20170926,-0.06
20170927,0.81
20170928,0.48
20170929,0.42
20171002,0.01
20171003,0.01
20171004,0.25
20171005,0.01
20171006,0.64
20171009,0.56
20171010,0
20171011,0.41
20171012,0.65
20171013,-0.02
20171016,0.26
20171017,-0.22
20171018,0.19
20171019,-0.22
20171020,0.12
20171023,0.42
20171024,0.67
20171025,-0.08
20171026,0.31
20171027,0.97
20171030,-0.16
20171031,0.39
20171101,-0.48
20171102,0.77
20171103,0.48
20171106,-0.41
20171107,-0.25
20171108,-0.03
20171109,-0.82
20171110,-0.11
20171113,0.82
20171114,0.93
20171115,-0.12
20171116,0.19
20171117,-1.34
20171120,0.46
20171121,0.93
20171122,-0.88
20171124,0.5
20171127,0.15
20171128,-0.47
20171129,-2.29
20171130,0.5
20171201,-0.46
20171204,-1.98
20171205,0.94
20171206,0.89
20171207,0.7
20171208,-0.47
20171211,-0.28
20171212,-0.57
20171213,0.56
20171214,0.47
20171215,0.25
20171218,-0.1
20171219,-0.06
20171220,-0.28
20171221,-0.75
20171222,0.11
20171226,-0.4
20171227,0.59
20171228,-0.08
20171229,-0.18
20180102,-0.64
20180103,0.22
20180104,-0.2
20180105,0.6
20180108,0.15
20180109,0.51
20180110,-0.2
20180111,-0.29
20180112,0
20180116,-0.18
20180117,0.99
20180118,0.43
20180119,0.56
20180122,-0.31
20180123,0.02
20180124,-0.19
20180125,0.63
20180126,0.59
20180129,-0.12
20180130,0.32
20180131,0.29
20180201,-0.18
20180202,0.15
20180205,-0.23
20180206,0.77
20180207,0.15
20180208,-1.15
20180209,0.58
20180212,0.52
20180213,0.62
20180214,0.21
20180215,0.29
20180216,-0.16
20180220,0.3
20180221,0.79
20180222,0.19
20180223,0.04
20180226,0.11
20180227,0.26
20180228,0.52
20180301,-0.82
20180302,-0.18
20180305,-0.41
20180306,0.38
20180307,0.79
20180308,-0.1
20180309,0.63
20180312,-0.53
20180313,-0.06
20180314,0.33
20180315,0.27
20180316,-0.44
20180319,0.45
20180320,1.29
20180321,-0.3
20180322,-0.97
20180323,-0.33
20180326,1.3
20180327,-1.83
20180328,-1.19
20180329,0.6
20180402,-0.17
20180403,-0.16
20180404,0.08
20180405,-0.38
20180406,-0.59
20180409,0.6
20180410,0.39
20180411,-0.53
20180412,1.26
20180413,-0.8
20180416,-0.02
20180417,1.08
20180418,0.04
20180419,0.64
20180420,0.05
20180423,-0.29
20180424,-1.03
20180425,-0.56
20180426,0.99
20180427,0.29
20180430,0.23
20180501,0.43
20180502,0.4
20180503,0.9
20180504,-0.4
20180507,0.38
20180508,0.48
20180509,0.22
20180510,-0.16
20180511,0.14
20180514,-0.36
20180515,-0.09
20180516,-0.02
20180517,0.2
20180518,0.63
20180521,0.24
20180522,-0.25
20180523,0.41
20180524,0.14
20180525,-0.57
20180529,-0.09
20180530,0.26
20180531,0.39
20180601,0.64
20180604,0.14
20180605,0.36
20180606,0.03
20180607,-0.91
20180608,-0.11
20180611,-0.62
20180612,0.13
20180613,0.24
20180614,-0.23
20180615,-0.89
20180618,0.73
20180619,-0.66
20180620,0.32
20180621,-0.34
20180622,-0.63
20180625,-1.13
20180626,0.44
20180627,-0.34
20180628,0.48
20180629,-0.02
20180702,0.56
20180703,-0.64
20180705,-0.33
20180706,0.08
20180709,0.49
20180710,-0.21
20180711,0.01
20180712,0.54
20180713,0.2
20180716,0.39
20180717,0.4
20180718,0.38
20180719,-0.08
20180720,0.27
20180723,0.38
20180724,-0.37
20180725,1.13
20180726,-0.99
20180727,-1.33
20180730,-1.42
20180731,0.09
20180801,1.1
20180802,0.83
20180803,-0.81
20180806,0.37
20180807,0.31
20180808,0.35
20180809,0.09
20180810,0.71
20180813,-0.03
20180814,0.37
20180815,-1.11
20180816,-0.37
20180817,-0.34
20180820,0.15
20180821,0.16
20180822,0.97
20180823,0.63
20180824,0.31
20180827,0.03
20180828,0.2
20180829,0.44
20180830,0.3
20180831,0.3
20180904,0.74
20180905,-1.48
20180906,0.01
20180907,-0.18
20180910,0.07
20180911,0.8
20180912,-0.86
20180913,0.2
20180914,-0.15
20180917,-1.33
20180918,0.37
20180919,-1.11
20180920,-0.19
20180921,-0.32
20180924,1.37
20180925,1.26
20180926,0.12
20180927,0.23
20180928,0.28
20181001,-0.14
20181002,-1.1
20181003,0.14
20181004,-0.83
20181005,0.07
20181008,-1.25
20181009,0.45
20181010,-1.62
20181011,0.44
20181012,1.77
20181015,-0.97
20181016,1
20181017,-0.19
20181018,-0.14
20181019,-0.54
20181022,1.24
20181023,-0.36
20181024,-0.44
20181025,1.03
20181026,-0.14
20181029,-1.12
20181030,0.03
20181031,0.77
20181101,-0.98
20181102,-0.13
20181105,-0.12
20181106,-0.1
20181107,1.7
20181108,0.43
20181109,0.04
20181112,-0.26
20181113,-0.91
20181114,-0.67
20181115,0.62
20181116,0.06
20181119,-1.02
20181120,-0.71
20181121,-0.19
20181123,0.08
20181126,0.11
20181127,0.57
20181128,0.99
20181129,0.28
20181130,-0.28
20181203,0.23
20181204,0.67
20181206,0.5
20181207,-0.53
20181210,0.75
20181211,0.73
