, AAVE , BNB , BTC , ADA , LINK , ATOM , CRO , DOGE , EOS , ETH ,IOTA,LTC,XMR,XEM,DOT,SOL,XLM,TRX,WBTC,XRP
 alpha ,-0.0126,0.0453,-0.0094,0.0154,0.012,-0.0149,-0.0023,0.0213,-0.0095,-0.0062,-0.003897731,-0.010713877,-0.01203862,-0.013877945,-0.013410687,-0.000335793,0.004148482,0.024583937,-0.012529193,-0.00505489
 betaRM ,0,0.0047,0.0064,0.0089,0.0072,0.0041,0.0042,0.0129,0.0092,0.005,0.00769369,0.00727396,0.01036317,0.003229085,-0.001853699,0.000305958,0.006686768,0.010953442,0.004116075,0.009620637
 betaSMB ,0.0164,-0.007,-0.0023,-0.0116,-0.0022,-0.0034,-0.0202,0.0109,-0.0113,0.0047,-0.01020001,6.81E-05,0.00025683,-0.001641979,0.006060925,0.006443061,-0.006536013,-0.001972893,0.001406412,0.002822769
 betaHML ,0.0018,0.0136,0.0039,0.0152,0.0018,0.0078,-0.0023,0.0029,0.004,0.006,0.006327136,0.005587431,0.001777839,0.009384412,0.005730554,0.008328495,0.009534353,0.008323606,0.003803709,0.002965033
 betaMOM ,-0.0082,0.0168,-0.006,-0.0555,-0.003,-0.0182,-0.0242,0.0058,-0.0102,-0.0059,-0.009952133,-0.000538519,0.001830891,-0.026862897,-0.001787859,-0.000479094,-0.011080526,0.003503988,-0.009700538,0.004021457
 MSE ,0.0163,0.0423,0.0096,0.0315,0.0316,0.0216,0.0314,0.1241,0.0216,0.0178,0.046717647,0.01437448,0.014381737,0.022781495,0.012185305,0.019776227,0.042062775,0.016735688,0.007082432,0.014863946
 R2 ,0.0705,-0.0049,0.1906,-0.0043,-0.0062,0.1414,0.0729,0.1216,0.1346,-0.042,-0.030371958,-0.043387376,-0.094368717,0.037771705,-0.202696489,-0.09776727,-0.078680214,0.005334236,-0.156248116,-0.058406187
,,,,,,,,,,,,,,,,,,,,
, IOTA , LTC , XMR , XEM , DOT , SOL , XLM , TRX , WBTC , XRP ,,,,,,,,,,
 alpha ,-0.0039,-0.0107,-0.012,-0.0139,-0.0134,-0.0003,0.0041,0.0246,-0.0125,-0.0051,,,,,,,,,,
 betaRM ,0.0077,0.0073,0.0104,0.0032,-0.0019,0.0003,0.0067,0.011,0.0041,0.0096,,,,,,,,,,
 betaSMB ,-0.0102,0.0001,0.0003,-0.0016,0.0061,0.0064,-0.0065,-0.002,0.0014,0.0028,,,,,,,,,,
 betaHML ,0.0063,0.0056,0.0018,0.0094,0.0057,0.0083,0.0095,0.0083,0.0038,0.003,,,,,,,,,,
 betaMOM ,-0.01,-0.0005,0.0018,-0.0269,-0.0018,-0.0005,-0.0111,0.0035,-0.0097,0.004,,,,,,,,,,
 MSE ,0.0467,0.0144,0.0144,0.0228,0.0122,0.0198,0.0421,0.0167,0.0071,0.0149,,,,,,,,,,
 R2 ,0.1304,-0.0234,0.1944,0.0378,-0.1027,0.1178,-0.0487,0.0153,-0.0362,0.0584,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Mean,StDev,Skewness,Kurtosis,P-value,R-Squared,,,,,,,,,,,,,,
betaRM,0.006,0.003,0.583,6.821,0.178,0.039,,,,,,,,,,,,,,
betaSMB,-0.0015,0.005,0.351,5.127,0.326,0.084,,,,,,,,,,,,,,
betaHML,0.0058,0.003,0.762,9.243,0.481,0.025,,,,,,,,,,,,,,
betaMOM,-0.008,0.009,0.831,7.183,0.254,0.048,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
alpha,-0.0002,,,,,,,,,,,,,,,,,,,
MSE,0.5588,,,,,,,,,,,,,,,,,,,
R2,0.0509,,,,,,,,,,,,,,,,,,,
